60,1142,619,0,0,18,0,2,0,0,0,0
61,1142,48,0,0,22,0,3,0,0,0,0
62,1142,48,0,0,24,0,3,0,0,0,0
63,1142,48,0,0,26,0,3,0,0,0,0
64,1142,48,0,0,28,0,3,0,0,0,0
65,1142,48,0,0,30,0,3,0,0,0,0
66,1142,48,0,0,31,0,4,0,0,0,0
67,1142,48,0,0,33,0,4,0,0,0,0
68,1142,48,0,0,35,0,4,0,0,0,0
69,1142,48,0,0,37,0,4,0,0,0,0
70,1142,48,0,0,39,0,4,0,0,0,0
71,1142,48,0,0,43,0,5,0,0,0,0
72,1142,48,0,0,45,0,5,0,0,0,0
73,1142,48,0,0,47,0,5,0,0,0,0
74,1142,48,0,0,48,0,5,0,0,0,0
75,1142,48,0,0,48,0,5,0,0,0,0
76,1142,48,0,0,48,0,6,0,0,0,0
77,1141,48,0,0,48,0,6,1,0,0,0
78,1141,48,0,0,48,0,6,1,0,0,0
79,1141,48,0,0,48,0,6,1,0,0,0
80,1141,48,0,0,48,0,6,1,0,0,0
81,1141,48,0,0,47,0,7,1,0,0,0
82,1141,48,0,0,49,0,7,1,0,0,0
83,1141,48,0,0,51,0,7,1,0,0,0
84,1141,48,0,0,53,0,7,1,0,0,0
85,1141,48,0,0,55,0,7,1,0,0,0
86,1141,48,0,0,70,0,8,1,0,0,0
87,1141,48,0,0,68,0,8,1,0,0,0
88,1141,48,0,0,66,0,8,1,0,0,0
89,1141,48,0,0,64,0,8,1,0,0,0
90,1141,48,0,0,64,0,8,1,0,0,0
91,1141,48,0,0,64,0,9,1,0,0,0
92,1140,48,0,0,64,0,9,2,0,0,0
93,1140,0,0,0,64,0,9,2,0,0,0
94,1140,0,0,0,64,0,9,2,0,0,0
95,1140,0,0,0,64,0,9,2,0,0,0
96,1140,0,0,0,64,0,10,2,0,0,0
97,1140,0,0,0,64,0,10,2,0,0,0
98,1140,0,0,0,64,0,10,2,0,0,0
99,1140,0,0,0,64,0,10,2,0,0,0
100,1140,0,0,0,64,0,10,2,0,0,0
101,1140,0,0,0,63,0,11,2,0,0,0
102,1140,0,0,0,64,0,11,2,0,0,0
103,1140,0,0,0,64,0,11,2,0,0,0
104,1140,0,0,0,64,0,11,2,0,0,0
105,1139,0,0,0,64,0,12,2,0,0,0
106,1140,0,0,0,63,0,12,2,0,0,0
107,1140,0,0,0,63,0,12,2,0,0,0
108,1140,0,0,0,64,0,12,2,0,0,0
109,1140,0,0,0,64,0,12,2,0,0,0
110,1140,1,0,0,64,0,12,2,0,0,0
111,1140,1,0,0,64,0,12,2,0,0,0
112,1139,1,0,0,64,0,12,3,0,0,0
113,1139,1,0,0,64,0,12,3,0,0,0
114,1139,1,0,0,64,0,12,3,0,0,0
115,1139,2,0,0,77,0,12,3,0,0,0
116,1139,2,0,0,64,0,12,3,0,0,0
117,1139,2,0,0,66,0,12,3,0,0,0
118,1139,2,0,0,66,0,12,3,0,0,0
119,1139,2,0,0,66,0,12,3,0,0,0
120,1139,3,0,0,66,0,12,3,0,0,0
121,1138,3,0,0,64,0,12,4,0,0,0
122,1034,3,0,0,63,104,12,4,0,0,0
123,621,3,0,0,55,521,12,0,0,0,0
124,235,3,0,0,52,908,12,0,0,0,0
125,132,4,0,0,49,1013,11,0,0,0,0
126,135,4,0,0,45,1013,11,0,0,0,0
127,137,4,0,0,39,1013,11,0,0,0,0
128,154,4,0,0,21,1013,11,0,0,0,0
129,154,4,0,0,19,1013,11,0,0,0,0
130,154,5,0,0,17,1013,10,0,0,0,0
131,154,5,0,0,15,1013,10,0,0,0,0
132,154,5,0,0,14,1013,10,0,0,0,0
133,155,5,0,0,8,1013,10,0,0,0,0
134,156,5,0,0,7,1013,10,0,0,0,0
135,157,6,0,0,6,1013,9,0,0,0,0
136,161,6,0,0,2,1013,9,0,0,0,0
137,163,6,0,0,0,1013,9,0,0,0,0
138,163,6,0,0,0,1013,9,0,0,0,0
139,163,6,0,0,0,1013,9,0,0,0,0
140,163,7,0,0,0,1013,8,0,0,0,0
141,163,7,0,0,0,1013,8,0,0,0,0
142,163,7,0,0,0,1013,8,0,0,0,0
143,163,7,0,0,0,1013,8,0,0,0,0
144,163,7,0,0,0,1013,8,0,0,0,0
145,163,8,0,0,0,1013,7,0,0,0,0
146,163,8,0,0,0,1013,7,0,0,0,0
147,163,8,0,0,0,1013,7,0,0,0,0
148,163,8,0,0,0,1013,7,0,0,0,0
149,163,8,0,0,0,1013,7,0,0,0,0
150,163,9,0,0,0,1013,6,0,0,0,0
151,163,9,0,0,0,1013,6,0,0,0,0
152,163,9,0,0,0,1013,6,0,0,0,0
153,163,9,0,0,0,1013,6,0,0,0,0
154,163,10,0,0,0,1013,5,0,0,0,0
155,163,10,0,0,0,1013,5,0,0,0,0
156,163,10,0,0,0,1013,5,0,0,0,0
157,163,10,0,0,0,1013,5,0,0,0,0
158,163,10,0,0,0,1013,5,0,0,0,0
159,163,11,0,0,0,1013,4,0,0,0,0
160,163,11,0,0,0,1013,4,0,0,0,0
161,163,11,0,0,0,1013,4,0,0,0,0
162,163,11,0,0,0,1013,4,0,0,0,0
163,164,11,0,0,0,1013,4,0,0,0,0
164,163,12,0,0,0,1013,3,0,0,0,0
165,163,12,0,0,0,1013,3,0,0,0,0
166,163,12,0,0,0,1013,3,0,0,0,0
167,163,12,0,0,0,1013,3,0,0,0,0
168,163,12,0,0,0,1013,3,0,0,0,0
169,163,12,0,0,0,1013,2,0,0,0,0
170,163,12,0,0,0,1013,2,0,0,0,0
171,163,12,0,0,0,1013,2,0,0,0,0
172,163,12,0,0,0,1013,2,0,0,0,0
173,163,12,0,0,0,1013,2,0,0,0,0
174,163,12,0,0,0,1013,1,0,0,0,0
175,163,12,0,0,0,1013,1,0,0,0,0
176,163,12,0,0,0,1013,1,0,0,0,0
177,163,12,0,0,0,1013,1,0,0,0,0
178,163,12,0,0,0,1013,1,0,0,0,0
179,163,12,0,0,0,1013,0,0,0,0,0
180,163,12,0,0,0,1013,0,0,0,0,0
181,163,12,0,0,0,1013,0,0,0,0,0
182,163,12,0,0,0,1013,0,0,0,0,0
183,163,12,0,0,0,1013,0,0,0,0,0
184,163,11,0,0,0,1013,0,0,0,0,0
185,163,11,0,0,0,1013,0,0,0,0,0
186,163,11,0,0,0,1013,0,0,0,0,0
187,163,11,0,0,0,1013,0,0,0,0,0
188,163,11,0,0,0,1013,0,0,0,0,0
189,163,10,0,0,0,1013,0,0,0,0,0
190,163,10,0,0,0,1013,0,0,0,0,0
191,163,10,0,0,0,1013,0,0,0,0,0
192,163,10,0,0,0,1013,0,0,0,0,0
193,163,10,0,0,0,1013,0,0,0,0,0
194,163,9,0,0,0,1013,0,0,0,0,0
195,163,9,0,0,0,1013,0,0,0,0,0
196,38,9,0,0,0,1138,0,0,0,0,0
197,35,9,0,0,0,1141,0,0,0,0,0
198,33,9,0,0,0,1143,0,0,0,0,0
199,31,8,0,0,0,1145,0,0,0,0,0
200,30,8,0,0,0,1146,0,0,0,0,0
201,28,8,0,0,0,1148,0,0,0,0,0
202,9,8,0,0,0,1167,0,0,0,0,0
203,9,7,0,0,0,1167,0,0,0,0,0
204,9,7,0,0,0,1167,0,0,0,0,0
205,9,7,0,0,0,1167,0,0,0,0,0
206,9,7,0,0,0,1167,0,0,0,0,0
207,8,7,0,0,0,1168,0,0,0,0,0
208,7,6,0,0,0,1169,0,0,0,0,0
209,6,6,0,0,0,1170,0,0,0,0,0
210,2,6,0,0,0,1174,0,0,0,0,0
211,0,6,0,0,0,1176,0,0,0,0,0
212,0,6,0,0,0,1176,0,0,0,0,0
213,0,5,0,0,0,1176,0,0,0,0,0
214,0,5,0,0,0,1176,0,0,0,0,0
215,0,5,0,0,0,1176,0,0,0,0,0
216,0,5,0,0,0,1176,0,0,0,0,0
217,0,5,0,0,0,1176,0,0,0,0,0
218,0,4,0,0,0,1176,0,0,0,0,0
219,0,4,0,0,0,1176,0,0,0,0,0
220,0,4,0,0,0,1176,0,0,0,0,0
221,0,4,0,0,0,1176,0,0,0,0,0
222,0,4,0,0,0,1041,135,0,0,0,0
223,0,3,0,0,0,163,1013,0,0,0,0
224,0,3,0,0,0,163,1013,0,0,0,0
225,0,3,0,0,0,163,1013,0,0,0,0
226,0,3,0,0,0,163,1013,0,0,0,0
227,0,3,0,0,0,163,1013,0,0,0,0
228,0,2,0,0,0,163,1013,0,0,0,0
229,0,2,0,0,0,163,1013,0,0,0,0
230,0,2,0,0,0,163,1013,0,0,0,0
231,0,2,0,0,0,163,1013,0,0,0,0
232,0,2,0,0,0,163,1013,0,0,0,0
233,0,1,0,0,0,163,1013,0,0,0,0
234,0,1,0,0,0,163,1013,0,0,0,0
235,0,1,0,0,0,163,1013,0,0,0,0
236,0,1,0,0,0,163,1013,0,0,0,0
237,0,136,0,0,0,163,878,0,0,0,0
238,0,1013,0,0,0,163,0,0,0,0,0
239,0,1013,0,0,0,163,0,0,0,0,0
240,0,1013,0,0,0,163,0,0,0,0,0
1,0,1013,0,0,0,162,0,0,0,0,0
2,0,1013,0,0,0,162,0,0,0,0,0
3,0,1013,0,0,0,162,0,0,0,0,0
4,0,1013,0,0,0,162,0,0,0,0,0
5,0,1013,0,0,0,162,0,0,0,0,0
6,0,1013,0,0,0,162,0,0,0,0,0
7,0,1013,0,0,0,162,0,0,0,0,0
8,0,1013,0,0,0,162,0,0,0,0,0
9,0,1013,0,0,0,162,0,0,0,0,0
10,0,1013,0,0,0,162,0,0,0,0,0
11,0,1013,0,0,0,161,0,0,0,0,0
12,0,1013,0,0,0,160,0,0,0,0,0
13,0,1013,0,0,0,159,0,0,0,0,0
14,0,1013,0,0,0,155,0,0,0,0,0
15,0,1013,0,0,0,153,0,0,0,0,0
16,0,1013,0,0,0,153,0,0,0,0,0
17,0,1013,0,0,0,153,0,0,0,0,0
18,0,1013,0,0,0,153,0,0,0,0,0
19,0,1013,0,0,0,153,0,0,0,0,0
20,0,1013,0,0,0,153,0,0,0,0,0
21,0,1013,0,0,0,153,0,0,0,0,0
22,0,1013,0,0,0,153,0,0,0,0,0
23,0,1013,0,0,0,153,0,0,0,0,0
24,0,1013,0,0,0,153,0,0,0,0,0
25,0,1013,0,0,0,153,0,0,0,0,0
26,0,1013,0,0,0,153,0,0,0,0,0
27,0,1013,0,0,0,153,0,0,0,0,0
28,0,1013,0,0,0,153,0,0,0,0,0
29,0,1013,0,0,0,153,0,0,0,0,0
30,0,1013,0,0,0,153,0,0,0,0,0
31,0,1013,0,0,0,153,0,0,0,0,0
32,0,1013,0,0,0,154,0,0,0,0,0
33,0,1013,0,0,0,153,0,0,0,0,0
34,0,1013,0,0,0,153,0,0,0,0,0
35,0,1013,0,0,0,153,0,0,0,0,0
36,0,1013,0,0,0,153,0,0,0,0,0
37,0,1013,0,0,0,153,0,0,0,0,0
38,0,1013,0,0,0,153,0,0,0,0,0
39,0,1013,0,0,0,153,0,0,0,0,0
40,0,1013,0,0,0,153,0,0,0,0,0
41,0,1013,0,0,0,153,0,0,0,0,0
42,0,1013,0,0,0,153,0,0,0,0,0
43,0,1013,0,0,0,153,0,0,0,0,0
44,0,1013,0,0,0,153,0,0,0,0,0
45,0,1013,0,0,0,0,0,0,0,0,0
46,321,1016,0,0,0,0,0,0,0,0,0
47,749,1015,0,0,0,0,0,0,0,0,0
48,1142,1013,0,0,2,0,1,0,0,0,0
49,1142,1013,0,0,4,0,1,0,0,0,0
50,1142,1013,0,0,6,0,1,0,0,0,0
51,1142,1013,0,0,8,0,1,0,0,0,0
52,1142,1013,0,0,10,0,1,0,0,0,0
53,1142,1013,0,0,12,0,2,0,0,0,0
54,1142,1013,0,0,14,0,2,0,0,0,0
55,1142,1013,0,0,16,0,2,0,0,0,0
56,1142,878,0,0,18,0,2,0,0,0,0
57,1142,0,0,0,20,0,2,0,0,0,0
58,1142,0,0,0,25,0,3,0,0,0,0
59,1142,0,0,0,27,0,3,0,0,0,0
60,1142,0,0,0,29,0,3,0,0,0,0
61,1142,0,0,0,31,0,3,0,0,0,0
62,1142,0,0,0,31,0,3,0,0,0,0
63,1142,0,0,0,32,0,4,0,0,0,0
64,1142,0,0,0,34,0,4,0,0,0,0
65,1142,0,0,0,36,0,4,0,0,0,0
66,1142,0,0,0,38,0,4,0,0,0,0
67,1142,0,0,0,40,0,4,0,0,0,0
68,1142,0,0,0,45,0,5,0,0,0,0
69,1142,0,0,0,47,0,5,0,0,0,0
70,1142,0,0,0,47,0,5,0,0,0,0
71,1142,0,0,0,47,0,5,0,0,0,0
72,1142,0,0,0,47,0,5,0,0,0,0
73,1142,0,0,0,47,0,6,0,0,0,0
74,1142,0,0,0,47,0,6,0,0,0,0
75,1142,0,0,0,47,0,6,0,0,0,0
76,1141,0,0,0,47,0,6,1,0,0,0
77,1140,0,0,0,47,1,6,1,0,0,0
78,1141,0,0,0,46,0,7,1,0,0,0
79,1141,0,0,0,48,0,7,1,0,0,0
80,1141,0,0,0,50,0,7,1,0,0,0
81,1141,0,0,0,52,0,7,1,0,0,0
82,1141,0,0,0,62,0,8,1,0,0,0
83,1141,0,0,0,64,0,8,1,0,0,0
84,1141,0,0,0,64,0,8,1,0,0,0
85,1141,0,0,0,64,0,8,1,0,0,0
86,1141,0,0,0,64,0,8,1,0,0,0
87,1141,0,0,0,64,0,9,1,0,0,0
88,1141,0,0,0,64,0,9,1,0,0,0
89,1141,0,0,0,64,0,9,1,0,0,0
90,1141,0,0,0,64,0,9,1,0,0,0
91,1141,0,0,0,64,0,9,1,0,0,0
92,1140,0,0,0,63,0,10,2,0,0,0
93,1140,0,0,0,64,0,10,2,0,0,0
94,1140,0,0,0,64,0,10,2,0,0,0
95,1140,0,0,0,64,0,10,2,0,0,0
96,1140,0,0,0,64,0,10,2,0,0,0
97,1140,0,0,0,63,0,11,2,0,0,0
98,1140,0,0,0,63,0,11,2,0,0,0
99,1140,0,0,0,64,0,11,2,0,0,0
100,1140,0,0,0,64,0,11,2,0,0,0
101,1140,0,0,0,64,0,11,2,0,0,0
102,1140,0,0,0,64,0,12,2,0,0,0
103,1139,0,0,0,64,0,12,3,0,0,0
104,1139,0,0,0,64,0,12,3,0,0,0
105,1139,0,0,0,65,0,12,3,0,0,0
106,1139,0,0,0,65,0,12,3,0,0,0
107,1138,0,0,0,65,0,13,4,0,0,0
108,1138,0,0,0,65,0,13,4,0,0,0
109,1138,0,0,0,64,0,13,4,0,0,0
110,1138,1,0,0,65,0,12,4,0,0,0
111,1138,1,0,0,65,0,12,4,0,0,0
112,1137,1,0,0,64,0,13,5,0,0,0
113,1137,1,0,0,64,0,13,5,0,0,0
114,1137,1,0,0,64,0,13,5,0,0,0
115,1137,2,0,0,64,0,12,5,0,0,0
116,1137,2,0,0,66,0,12,5,0,0,0
117,1137,2,0,0,64,0,13,5,0,0,0
118,1137,2,0,0,62,0,13,5,0,0,0
119,900,2,0,0,54,238,14,2,0,0,0
120,495,3,0,0,44,649,13,0,0,0,0
121,135,3,0,0,37,1013,13,0,0,0,0
122,137,3,0,0,33,1013,13,0,0,0,0
123,137,3,0,0,33,1013,13,0,0,0,0
124,139,3,0,0,31,1013,13,0,0,0,0
125,141,4,0,0,28,1013,12,0,0,0,0
126,143,4,0,0,24,1013,12,0,0,0,0
127,143,4,0,0,22,1013,12,0,0,0,0
128,143,4,0,0,20,1013,12,0,0,0,0
129,143,5,0,0,18,1013,11,0,0,0,0
130,143,5,0,0,18,1013,11,0,0,0,0
131,143,5,0,0,18,1013,11,0,0,0,0
132,143,5,0,0,18,1013,11,0,0,0,0
133,143,5,0,0,18,1013,11,0,0,0,0
134,144,6,0,0,17,1013,10,0,0,0,0
135,146,6,0,0,15,1013,10,0,0,0,0
136,148,6,0,0,13,1013,10,0,0,0,0
137,150,6,0,0,11,1013,10,0,0,0,0
138,158,7,0,0,3,1013,9,0,0,0,0
139,159,7,0,0,2,1013,9,0,0,0,0
140,160,7,0,0,1,1013,9,0,0,0,0
141,160,7,0,0,1,1013,9,0,0,0,0
142,160,7,0,0,2,1013,9,0,0,0,0
143,160,8,0,0,0,1013,8,0,0,0,0
144,160,8,0,0,0,1013,8,0,0,0,0
145,160,8,0,0,0,1013,8,0,0,0,0
146,160,8,0,0,0,1013,8,0,0,0,0
147,160,9,0,0,0,1013,7,0,0,0,0
148,160,9,0,0,0,1013,7,0,0,0,0
149,160,9,0,0,0,1013,7,0,0,0,0
150,160,9,0,0,0,1013,7,0,0,0,0
151,160,9,0,0,0,1013,7,0,0,0,0
152,160,10,0,0,0,1013,6,0,0,0,0
153,160,10,0,0,0,1013,6,0,0,0,0
154,160,10,0,0,0,1013,6,0,0,0,0
155,160,10,0,0,0,1013,6,0,0,0,0
156,160,11,0,0,0,1013,5,0,0,0,0
157,160,11,0,0,0,1013,5,0,0,0,0
158,160,11,0,0,0,1013,5,0,0,0,0
159,160,11,0,0,0,1013,5,0,0,0,0
160,160,11,0,0,0,1013,5,0,0,0,0
161,160,12,0,0,0,1013,4,0,0,0,0
162,160,12,0,0,0,1013,4,0,0,0,0
163,160,12,0,0,0,1013,4,0,0,0,0
164,160,12,0,0,0,1013,4,0,0,0,0
165,160,12,0,0,0,1013,4,0,0,0,0
166,160,13,0,0,0,1013,3,0,0,0,0
167,160,13,0,0,0,1013,3,0,0,0,0
168,160,13,0,0,0,1013,3,0,0,0,0
169,160,12,0,0,0,1013,3,0,0,0,0
170,160,12,0,0,0,1013,3,0,0,0,0
171,160,13,0,0,0,1013,2,0,0,0,0
172,160,13,0,0,0,1013,2,0,0,0,0
173,160,13,0,0,0,1013,2,0,0,0,0
174,160,12,0,0,0,1013,2,0,0,0,0
175,160,12,0,0,0,1013,2,0,0,0,0
176,160,13,0,0,0,1013,1,0,0,0,0
177,160,13,0,0,0,1013,1,0,0,0,0
178,160,13,0,0,0,1013,0,0,0,0,0
179,160,13,0,0,0,1013,0,0,0,0,0
180,160,13,0,0,0,1013,0,0,0,0,0
181,160,13,0,0,0,1013,0,0,0,0,0
182,160,13,0,0,0,1013,0,0,0,0,0
183,160,12,0,0,0,1013,0,0,0,0,0
184,160,12,0,0,0,1013,0,0,0,0,0
185,160,12,0,0,0,1013,0,0,0,0,0
186,160,12,0,0,0,1013,0,0,0,0,0
187,160,12,0,0,0,1013,0,0,0,0,0
188,160,11,0,0,0,1013,0,0,0,0,0
189,160,11,0,0,0,1013,0,0,0,0,0
190,160,11,0,0,0,1013,0,0,0,0,0
191,160,11,0,0,0,1013,0,0,0,0,0
192,160,11,0,0,0,1013,0,0,0,0,0
193,29,10,0,0,0,1144,0,0,0,0,0
194,25,10,0,0,0,1148,0,0,0,0,0
195,23,10,0,0,0,1150,0,0,0,0,0
196,23,10,0,0,0,1150,0,0,0,0,0
197,21,9,0,0,0,1152,0,0,0,0,0
198,19,9,0,0,0,1154,0,0,0,0,0
199,17,9,0,0,0,1156,0,0,0,0,0
200,17,9,0,0,0,1156,0,0,0,0,0
201,17,9,0,0,0,1156,0,0,0,0,0
202,17,8,0,0,0,1156,0,0,0,0,0
203,17,8,0,0,0,1156,0,0,0,0,0
204,17,8,0,0,0,1156,0,0,0,0,0
205,17,8,0,0,0,1156,0,0,0,0,0
206,17,7,0,0,0,1156,0,0,0,0,0
207,16,7,0,0,0,1157,0,0,0,0,0
208,14,7,0,0,0,1159,0,0,0,0,0
209,12,7,0,0,0,1161,0,0,0,0,0
210,10,7,0,0,0,1163,0,0,0,0,0
211,2,6,0,0,0,1171,0,0,0,0,0
212,1,6,0,0,0,1172,0,0,0,0,0
213,0,6,0,0,0,1173,0,0,0,0,0
214,0,6,0,0,0,1173,0,0,0,0,0
215,0,5,0,0,0,1173,0,0,0,0,0
216,0,5,0,0,0,1173,0,0,0,0,0
217,0,5,0,0,0,1173,0,0,0,0,0
218,0,5,0,0,0,1173,0,0,0,0,0
219,0,5,0,0,0,1173,0,0,0,0,0
220,0,4,0,0,0,1173,0,0,0,0,0
221,0,4,0,0,0,1173,0,0,0,0,0
222,0,4,0,0,0,1173,0,0,0,0,0
223,0,4,0,0,0,160,1013,0,0,0,0
224,0,4,0,0,0,160,1013,0,0,0,0
225,0,3,0,0,0,160,1013,0,0,0,0
226,0,3,0,0,0,160,1013,0,0,0,0
227,0,3,0,0,0,160,1013,0,0,0,0
228,0,3,0,0,0,160,1013,0,0,0,0
229,0,3,0,0,0,160,1013,0,0,0,0
230,0,2,0,0,0,160,1013,0,0,0,0
231,0,2,0,0,0,160,1013,0,0,0,0
232,0,2,0,0,0,160,1013,0,0,0,0
233,0,2,0,0,0,160,1013,0,0,0,0
234,0,2,0,0,0,160,1013,0,0,0,0
235,0,1,0,0,0,160,1013,0,0,0,0
236,0,1,0,0,0,160,1013,0,0,0,0
237,0,1013,0,0,0,160,0,0,0,0,0
238,0,1013,0,0,0,155,0,0,0,0,0
239,0,1013,0,0,0,153,0,0,0,0,0
240,0,1013,0,0,0,153,0,0,0,0,0
1,0,1013,0,0,0,153,0,0,0,0,0
2,0,1013,0,0,0,153,0,0,0,0,0
3,0,1013,0,0,0,153,0,0,0,0,0
4,0,1013,0,0,0,153,0,0,0,0,0
5,0,1013,0,0,0,153,0,0,0,0,0
6,0,1013,0,0,0,153,0,0,0,0,0
7,0,1013,0,0,0,153,0,0,0,0,0
8,0,1013,0,0,0,153,0,0,0,0,0
9,0,1013,0,0,0,153,0,0,0,0,0
10,0,1013,0,0,0,153,0,0,0,0,0
11,0,1013,0,0,0,153,0,0,0,0,0
12,0,1013,0,0,0,152,0,0,0,0,0
13,0,1013,0,0,0,150,0,0,0,0,0
14,0,1013,0,0,0,148,0,0,0,0,0
15,0,1013,0,0,0,146,0,0,0,0,0
16,0,1013,0,0,0,138,0,0,0,0,0
17,0,1013,0,0,0,137,0,0,0,0,0
18,0,1013,0,0,0,136,0,0,0,0,0
19,0,1013,0,0,0,136,0,0,0,0,0
20,0,1013,0,0,0,136,0,0,0,0,0
21,0,1013,0,0,0,136,0,0,0,0,0
22,0,1013,0,0,0,136,0,0,0,0,0
23,0,1013,0,0,0,136,0,0,0,0,0
24,0,1013,0,0,0,136,0,0,0,0,0
25,0,1013,0,0,0,136,0,0,0,0,0
26,0,1013,0,0,0,136,0,0,0,0,0
27,0,1013,0,0,0,136,0,0,0,0,0
28,0,1013,0,0,0,136,0,0,0,0,0
29,0,1013,0,0,0,136,0,0,0,0,0
30,0,1013,0,0,0,136,0,0,0,0,0
31,0,1013,0,0,0,136,0,0,0,0,0
32,0,1013,0,0,0,136,0,0,0,0,0
33,0,1013,0,0,0,136,0,0,0,0,0
34,0,1013,0,0,0,136,0,0,0,0,0
35,0,1013,0,0,0,136,0,0,0,0,0
36,0,1013,0,0,0,136,0,0,0,0,0
37,0,1013,0,0,0,136,0,0,0,0,0
38,0,1013,0,0,0,136,0,0,0,0,0
39,0,1013,0,0,0,136,0,0,0,0,0
40,0,1013,0,0,0,136,0,0,0,0,0
41,0,1013,0,0,0,136,0,0,0,0,0
42,20,1016,0,0,0,0,0,0,0,0,0
43,531,1018,0,0,0,0,0,0,0,0,0
44,1036,1015,0,0,1,1,0,0,0,0,0
45,1142,1013,0,0,2,0,1,0,0,0,0
46,1142,1013,0,0,4,0,1,0,0,0,0
47,1142,1013,0,0,6,0,1,0,0,0,0
48,1142,1013,0,0,8,0,1,0,0,0,0
49,1142,1013,0,0,10,0,2,0,0,0,0
50,1144,1013,0,0,12,0,2,0,0,0,0
51,1142,1013,0,0,16,0,2,0,0,0,0
52,1142,1013,0,0,18,0,2,0,0,0,0
53,1142,1013,0,0,20,0,2,0,0,0,0
54,1142,1013,0,0,25,0,3,0,0,0,0
55,1142,1013,0,0,27,0,3,0,0,0,0
56,1142,0,0,0,29,0,3,0,0,0,0
57,1142,0,0,0,31,0,3,0,0,0,0
58,1142,0,0,0,31,0,3,0,0,0,0
59,1142,0,0,0,32,0,4,0,0,0,0
60,1142,0,0,0,34,0,4,0,0,0,0
61,1142,0,0,0,36,0,4,0,0,0,0
62,1142,0,0,0,38,0,4,0,0,0,0
63,1142,0,0,0,40,0,4,0,0,0,0
64,1142,0,0,0,48,0,5,0,0,0,0
65,1142,0,0,0,50,0,5,0,0,0,0
66,1142,0,0,0,50,0,5,0,0,0,0
67,1142,0,0,0,50,0,5,0,0,0,0
68,1142,0,0,0,50,0,5,0,0,0,0
69,1142,0,0,0,50,0,6,0,0,0,0
70,1142,0,0,0,50,0,6,0,0,0,0
71,1142,0,0,0,50,0,6,0,0,0,0
72,1142,0,0,0,50,0,6,0,0,0,0
73,1142,0,0,0,50,0,6,0,0,0,0
74,1142,0,0,0,49,0,7,0,0,0,0
75,1142,0,0,0,51,0,7,0,0,0,0
76,1142,0,0,0,53,0,7,0,0,0,0
77,1142,0,0,0,55,0,7,0,0,0,0
78,1142,0,0,0,57,0,7,0,0,0,0
79,1142,0,0,0,74,0,8,0,0,0,0
80,1142,0,0,0,76,0,8,0,0,0,0
81,1142,0,0,0,76,0,8,0,0,0,0
82,1142,0,0,0,73,0,8,0,0,0,0
83,1142,0,0,0,68,0,8,0,0,0,0
84,1141,0,0,0,64,0,9,1,0,0,0
85,1141,0,0,0,64,0,9,1,0,0,0
86,1141,0,0,0,64,0,9,1,0,0,0
87,1141,0,0,0,64,0,9,1,0,0,0
88,1141,0,0,0,64,0,9,1,0,0,0
89,1141,0,0,0,64,0,10,1,0,0,0
90,1140,0,0,0,64,0,10,2,0,0,0
91,1140,0,0,0,64,0,10,2,0,0,0
92,1140,0,0,0,64,0,10,2,0,0,0
93,1139,0,0,0,64,0,11,2,0,0,0
94,1140,0,0,0,63,0,11,2,0,0,0
95,1140,0,0,0,64,0,11,2,0,0,0
96,1140,0,0,0,64,0,11,2,0,0,0
97,1140,0,0,0,64,0,11,2,0,0,0
98,1139,0,0,0,64,0,12,2,0,0,0
99,1139,0,0,0,63,0,12,3,0,0,0
100,1139,0,0,0,63,0,12,3,0,0,0
101,1139,0,0,0,64,0,12,3,0,0,0
102,1139,0,0,0,64,0,12,3,0,0,0
103,1138,1,0,0,63,0,12,4,0,0,0
104,1138,1,0,0,64,0,12,4,0,0,0
105,1138,1,0,0,64,0,12,4,0,0,0
106,1138,1,0,0,64,0,12,4,0,0,0
107,1138,1,0,0,64,0,12,4,0,0,0
108,1138,2,0,0,80,0,12,4,0,0,0
109,1138,2,0,0,64,0,12,4,0,0,0
110,1138,2,0,0,66,0,12,4,0,0,0
111,1138,2,0,0,66,0,12,4,0,0,0
112,1138,2,0,0,68,0,12,4,0,0,0
113,1138,3,0,0,64,0,12,4,0,0,0
114,1138,3,0,0,64,0,12,4,0,0,0
115,1138,3,0,0,64,0,12,4,0,0,0
116,738,3,0,0,55,404,12,0,0,0,0
117,247,3,0,0,48,900,12,0,0,0,0
118,136,4,0,0,44,1013,11,0,0,0,0
119,157,4,0,0,21,1013,11,0,0,0,0
120,159,4,0,0,19,1013,11,0,0,0,0
121,159,4,0,0,18,1013,11,0,0,0,0
122,159,4,0,0,15,1013,11,0,0,0,0
123,159,5,0,0,13,1013,10,0,0,0,0
124,158,5,0,0,11,1013,10,0,0,0,0
125,158,5,0,0,10,1013,10,0,0,0,0
126,158,5,0,0,3,1013,10,0,0,0,0
127,158,5,0,0,1,1013,10,0,0,0,0
128,158,6,0,0,0,1013,9,0,0,0,0
129,158,6,0,0,0,1013,9,0,0,0,0
130,158,6,0,0,0,1013,9,0,0,0,0
131,158,6,0,0,0,1013,9,0,0,0,0
132,158,6,0,0,0,1013,9,0,0,0,0
133,158,7,0,0,0,1013,8,0,0,0,0
134,158,7,0,0,0,1013,8,0,0,0,0
135,158,7,0,0,0,1013,8,0,0,0,0
136,158,7,0,0,0,1013,8,0,0,0,0
137,158,7,0,0,0,1013,8,0,0,0,0
138,158,8,0,0,0,1013,7,0,0,0,0
